Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulative reward
0,14,0,0,401,0.3460866082114466,-28.0
1,9,0,0,147,0.7616774510728889,-38.0
1,17,0,0,364,0.3775958890776444,-54.0
1,3,0,0,82,1.2854009692794248,-26.0
1,13,0,0,249,0.5070050557547549,-46.0
1,3,0,0,66,1.507419724460785,-26.0
1,17,0,0,334,0.39810804360109925,-54.0
1,5,0,0,130,0.8494095198620829,-30.0
1,3,0,0,66,1.551078027441892,-26.0
1,3,0,0,99,1.0677672485009309,-26.0
1,14,0,0,357,0.3793532899234542,-48.0
1,3,0,0,85,1.2416722218446323,-26.0
1,8,0,0,163,0.6976723455709798,-36.0
1,8,0,0,205,0.590596335195279,-36.0
1,6,0,0,128,0.8664580512357625,-32.0
1,3,0,0,155,0.7291704953265302,-26.0
1,3,0,0,90,1.1713982768491977,-26.0
1,10,0,0,199,0.5847148653271179,-40.0
1,3,0,0,105,1.02053146873501,-26.0
1,21,0,0,249,0.49713565793785147,-62.0
1,12,0,0,172,0.6723579642947012,-44.0
1,3,0,0,117,0.9367197292638254,-26.0
1,11,0,0,282,0.4459311378800216,-42.0
1,4,0,0,121,0.9199878715100903,-28.0
1,3,0,0,132,0.8261553041434156,-26.0
1,15,0,0,301,0.4344446482563155,-50.0
1,23,0,0,332,0.39269555901674613,-66.0
1,3,0,0,143,0.781019404966192,-26.0
1,9,0,0,352,0.37411985508973533,-38.0
1,8,0,0,120,0.9260095336340785,-36.0
1,8,0,0,106,1.0235235150522815,-36.0
1,6,0,0,196,0.6002836583145236,-32.0
1,5,0,0,181,0.6357346553890991,-30.0
1,11,0,0,169,0.6655046923355794,-42.0
1,3,0,0,165,0.694737799254127,-26.0
1,8,0,0,125,0.8846168578432633,-36.0
1,5,0,0,184,0.6329816253678152,-30.0
1,3,0,0,83,1.2685048210950443,-26.0
1,3,0,0,95,1.1272406413052578,-26.0
1,6,0,0,104,1.0366815720301372,-32.0
1,3,0,0,108,1.0030622100433313,-26.0
1,4,0,0,108,1.0153122713776033,-28.0
1,9,0,0,192,0.6034897381142504,-38.0
1,4,0,0,157,0.7240463615624895,-28.0
0,13,0,0,272,0.4635987274149644,-26.0
1,8,0,0,203,0.5663384036514849,-36.0
1,4,0,0,160,0.7201020017217328,-28.0
1,8,0,0,168,0.6914513788603197,-36.0
1,10,0,0,224,0.5381893070787351,-40.0
1,7,0,0,276,0.45483840527635555,-34.0
1,2,0,0,107,1.0053906748759398,-24.0
1,19,0,0,188,0.6287713200742647,-58.0
1,16,0,0,269,0.4601926758455533,-52.0
1,9,0,0,315,0.41495763626383075,-38.0
1,3,0,0,143,0.7877262907398218,-26.0
1,20,0,0,325,0.40076004700574963,-60.0
1,3,0,0,96,1.1112792943159724,-26.0
1,7,0,0,174,0.6572189014503776,-34.0
1,9,0,0,115,0.9488083727464051,-38.0
1,17,0,0,267,0.4642709186639877,-54.0
1,5,0,0,215,0.5608392790733371,-30.0
1,3,0,0,80,1.3343643927468622,-26.0
1,3,0,0,97,1.0953959072334176,-26.0
1,8,0,0,150,0.7492381596550076,-36.0
1,8,0,0,133,0.8197679666155149,-36.0
1,8,0,0,181,0.6382017124729388,-36.0
1,7,0,0,177,0.645925425506393,-34.0
1,3,0,0,93,1.1375013538961798,-26.0
1,8,0,0,227,0.5314920325240445,-36.0
1,8,0,0,170,0.6765807713909752,-36.0
1,3,0,0,83,1.2531965499627948,-26.0
1,19,0,0,372,0.37331548288362326,-58.0
1,3,0,0,158,0.7155753908492914,-26.0
1,4,0,0,120,0.9222603619369021,-28.0
1,3,0,0,98,1.0764707021806779,-26.0
1,8,0,0,163,0.6989172865939776,-36.0
0,20,0,0,401,0.34781354628087835,-40.0
1,15,0,0,296,0.42283204519301076,-50.0
1,9,0,0,185,0.6203029886992724,-38.0
1,12,0,0,288,0.44955674373802423,-44.0
1,3,0,0,95,1.1196973018101526,-26.0
1,5,0,0,203,0.5825849474324237,-30.0
1,8,0,0,264,0.4721150254611922,-36.0
1,11,0,0,175,0.6696096132362674,-42.0
0,10,0,0,401,0.353310450607987,-20.0
1,3,0,0,154,0.7372811725086753,-26.0
1,2,0,0,57,1.7499798785338267,-24.0
1,8,0,0,119,0.9245710908425041,-36.0
1,11,0,0,234,0.5326328897613305,-42.0
1,8,0,0,168,0.6823841482446082,-36.0
1,3,0,0,119,0.9034173273470331,-26.0
1,8,0,0,127,0.8749357938743484,-36.0
1,3,0,0,153,0.7303217210086552,-26.0
1,3,0,0,73,1.3905945900520318,-26.0
1,18,0,0,398,0.351583753054261,-56.0
1,3,0,0,114,0.9443175248735606,-26.0
1,4,0,0,225,0.5359923628239996,-28.0
1,9,0,0,333,0.40500798080731404,-38.0
1,3,0,0,160,0.7070005396092324,-26.0
1,22,0,0,330,0.40549466462686534,-64.0
1,7,0,0,89,1.1975008132334424,-34.0
1,16,0,0,205,0.5915113737026058,-52.0
1,3,0,0,132,0.8429705840009856,-26.0
1,12,0,0,222,0.5486571254108068,-44.0
1,8,0,0,157,0.7153625437567704,-36.0
1,3,0,0,170,0.67473361922004,-26.0
1,13,0,0,252,0.5037319411880101,-46.0
1,9,0,0,107,0.992994675586973,-38.0
1,9,0,0,226,0.5433370338292408,-38.0
1,3,0,0,87,1.1974460592661451,-26.0
1,15,0,0,210,0.5720485745006305,-50.0
1,5,0,0,146,0.7595719976588516,-30.0
1,8,0,0,174,0.6553601703550164,-36.0
1,3,0,0,78,1.3362988120217163,-26.0
1,7,0,0,294,0.4387237286202432,-34.0
1,3,0,0,82,1.2984688046920394,-26.0
1,8,0,0,188,0.6171132476063241,-36.0
1,3,0,0,110,0.9806949940785873,-26.0
1,10,0,0,306,0.42727981832543027,-40.0
1,9,0,0,151,0.7562983892916517,-38.0
0,1,0,0,97,1.0952577576810048,-2.0
0,17,0,0,401,0.34915308855307003,-34.0
1,3,0,0,158,0.7106561588984199,-26.0
1,14,0,0,393,0.3659930753901033,-48.0
1,21,0,0,390,0.36171586309201476,-62.0
1,15,0,0,372,0.36958974192386745,-50.0
1,8,0,0,135,0.8260406153831046,-36.0
1,11,0,0,189,0.6132519529741691,-42.0
1,3,0,0,100,1.0824952958607585,-26.0
1,7,0,0,123,0.9098758669740828,-34.0
1,16,0,0,282,0.45637168407014633,-52.0
1,3,0,0,77,1.3513786465658617,-26.0
1,13,0,0,288,0.4403272160310576,-46.0
1,16,0,0,270,0.457501147484692,-52.0
1,3,0,0,96,1.100349874028688,-26.0
1,7,0,0,114,0.9374180332830216,-34.0
1,8,0,0,179,0.6453266698731623,-36.0
1,17,0,0,363,0.37644504232122605,-54.0
1,8,0,0,377,0.363869588273987,-36.0
1,4,0,0,159,0.7147613737759073,-28.0
1,6,0,0,112,1.0045411603501433,-32.0
1,15,0,0,310,0.4146942658151385,-50.0
1,5,0,0,137,0.8184227454587225,-30.0
1,7,0,0,214,0.5523623193230573,-34.0
1,14,0,0,308,0.420431908451084,-48.0
1,20,0,0,328,0.396667762840535,-60.0
1,9,0,0,188,0.6287815559303859,-38.0
1,15,0,0,306,0.4230434814041089,-50.0
0,13,0,0,401,0.3454217446061866,-26.0
1,11,0,0,269,0.47506775210297225,-42.0
1,11,0,0,222,0.5356231151049063,-42.0
1,3,0,0,175,0.662287983498105,-26.0
1,17,0,0,400,0.34902213096243534,-54.0
1,7,0,0,132,0.8332167404149987,-34.0
